customer_name,customer_email,customer_phone,customer_address,cart_id,product_description,quantity,unit_price,tax_rate,discount
Alex Rivas,alexrivas@gmail.com,001-536-950-0023x933,"2781 Powers Ridge, East Elizabeth, ND 77262",INV-414607,Logo Design,2,600,0.1,10.14
Cheyenne Mcclain,cheyennemcclain@gmail.com,(870)701-4141,"2252 Walls Lodge, Danielville, ME 08856",INV-349412,Maintenance Plan,3,300,0.1,9.75
Cheyenne Mcclain,cheyennemcclain@gmail.com,(870)701-4141,"2252 Walls Lodge, Danielville, ME 08856",INV-349412,Brand Strategy Consultation,3,950,0.1,2.99
Cheyenne Mcclain,cheyennemcclain@gmail.com,(870)701-4141,"2252 Walls Lodge, Danielville, ME 08856",INV-349412,Training Session,3,250,0.1,2.05
Steven Alexander,stevenalexander@gmail.com,(771)370-9337,"260 Juan Shores Apt. 329, North Michaelburgh, MD 50220",INV-418746,On-Site Support,3,500,0.1,5.22
Steven Alexander,stevenalexander@gmail.com,(771)370-9337,"260 Juan Shores Apt. 329, North Michaelburgh, MD 50220",INV-418746,On-Site Support,2,500,0.1,9.6
Gina Davis,ginadavis@gmail.com,+1-341-447-3476x67726,"74008 Pamela Street Apt. 573, Skinnerberg, WI 50068",INV-376222,Training Session,3,250,0.1,4.91
Gina Davis,ginadavis@gmail.com,+1-341-447-3476x67726,"74008 Pamela Street Apt. 573, Skinnerberg, WI 50068",INV-376222,Maintenance Plan,2,300,0.1,14.62
Scott Thomas,scottthomas@gmail.com,866-791-2219x05914,"349 Garza Islands Apt. 830, Danielport, CT 49857",INV-780647,Brand Strategy Consultation,2,950,0.1,7.02
Scott Thomas,scottthomas@gmail.com,866-791-2219x05914,"349 Garza Islands Apt. 830, Danielport, CT 49857",INV-780647,Training Session,2,250,0.1,0.0
Scott Thomas,scottthomas@gmail.com,866-791-2219x05914,"349 Garza Islands Apt. 830, Danielport, CT 49857",INV-780647,On-Site Support,1,500,0.1,14.56
Molly Sellers,mollysellers@gmail.com,+1-217-819-8392,"USNS Mathews, FPO AA 33841",INV-207628,SSL Certificate,2,75,0.1,3.14
Molly Sellers,mollysellers@gmail.com,+1-217-819-8392,"USNS Mathews, FPO AA 33841",INV-207628,IT Infrastructure Setup,2,2000,0.1,8.25
Molly Sellers,mollysellers@gmail.com,+1-217-819-8392,"USNS Mathews, FPO AA 33841",INV-207628,On-Site Support,1,500,0.1,2.07
Molly Sellers,mollysellers@gmail.com,+1-217-819-8392,"USNS Mathews, FPO AA 33841",INV-207628,Maintenance Plan,2,300,0.1,12.06
Molly Sellers,mollysellers@gmail.com,+1-217-819-8392,"USNS Mathews, FPO AA 33841",INV-207628,Brand Strategy Consultation,1,950,0.1,9.26
James Nguyen,jamesnguyen@gmail.com,+1-998-553-6337,"93401 Chad Trail, Port William, KS 74819",INV-407239,Brand Strategy Consultation,1,950,0.1,5.76
James Nguyen,jamesnguyen@gmail.com,+1-998-553-6337,"93401 Chad Trail, Port William, KS 74819",INV-407239,Brand Strategy Consultation,2,950,0.1,0.26
James Nguyen,jamesnguyen@gmail.com,+1-998-553-6337,"93401 Chad Trail, Port William, KS 74819",INV-407239,Training Session,1,250,0.1,5.82
James Nguyen,jamesnguyen@gmail.com,+1-998-553-6337,"93401 Chad Trail, Port William, KS 74819",INV-407239,On-Site Support,3,500,0.1,0.19
Catherine Mccullough,catherinemccullough@gmail.com,217.741.3314,"18340 Bryant Shores, New Scottfurt, HI 79484",INV-641749,Brand Strategy Consultation,1,950,0.1,9.19
Catherine Mccullough,catherinemccullough@gmail.com,217.741.3314,"18340 Bryant Shores, New Scottfurt, HI 79484",INV-641749,Web Development,2,1200,0.1,1.06
Catherine Mccullough,catherinemccullough@gmail.com,217.741.3314,"18340 Bryant Shores, New Scottfurt, HI 79484",INV-641749,Brand Strategy Consultation,3,950,0.1,13.85
Catherine Mccullough,catherinemccullough@gmail.com,217.741.3314,"18340 Bryant Shores, New Scottfurt, HI 79484",INV-641749,On-Site Support,1,500,0.1,9.98
Catherine Mccullough,catherinemccullough@gmail.com,217.741.3314,"18340 Bryant Shores, New Scottfurt, HI 79484",INV-641749,IT Infrastructure Setup,2,2000,0.1,6.87
Tommy Jacobs,tommyjacobs@gmail.com,+1-707-973-4109x0075,"36942 Skinner Walk, Jaimeberg, NM 82163",INV-523329,Brand Strategy Consultation,3,950,0.1,3.17
Tommy Jacobs,tommyjacobs@gmail.com,+1-707-973-4109x0075,"36942 Skinner Walk, Jaimeberg, NM 82163",INV-523329,Maintenance Plan,3,300,0.1,3.66
Tommy Jacobs,tommyjacobs@gmail.com,+1-707-973-4109x0075,"36942 Skinner Walk, Jaimeberg, NM 82163",INV-523329,Training Session,1,250,0.1,14.62
Tony Smith,tonysmith@gmail.com,3117612543,"97984 Green Stream, Port Brandonland, GU 18127",INV-694651,On-Site Support,2,500,0.1,8.58
Tony Smith,tonysmith@gmail.com,3117612543,"97984 Green Stream, Port Brandonland, GU 18127",INV-694651,Logo Design,3,600,0.1,14.44
Tony Smith,tonysmith@gmail.com,3117612543,"97984 Green Stream, Port Brandonland, GU 18127",INV-694651,IT Infrastructure Setup,2,2000,0.1,8.83
Tony Smith,tonysmith@gmail.com,3117612543,"97984 Green Stream, Port Brandonland, GU 18127",INV-694651,IT Infrastructure Setup,1,2000,0.1,5.51
